asset_number,asset_description,lamp_type_lupvalue,lamp_rating_w,mounting_type_lupvalue,lat,lon,location
1346432,Feature Lighting - Docklands,,,,-37.81848374983115,144.94487301364737,"(-37.81848374983115, 144.94487301364737)"
1636538,Feature Lighting - Jim Stynes Bridge,16,,Bridge Beam,-37.82315250298521,144.94859088145867,"(-37.82315250298521, 144.94859088145867)"
1543194,Feature Lighting - Upfield Railway,9,,Pole: Multiple Fixed,-37.78710838093525,144.94131520061217,"(-37.78710838093525, 144.94131520061217)"
1544012,Feature Lighting -,9,10,Pole: Multiple Fixed,-37.82449994780042,144.94713271246084,"(-37.82449994780042, 144.94713271246084)"
1544620,Feature Lighting - Birrarung Marr,9,,Pole: Multiple Fixed,-37.81918751533059,144.97436368057453,"(-37.81918751533059, 144.97436368057453)"
1539701,Feature Lighting - Newquay Promenade between Saint Mangos Lane and Rakaia Way,13,70,Pole: Multiple Fixed,-37.815134369457354,144.94145715452638,"(-37.815134369457354, 144.94145715452638)"
1542575,Feature Lighting -,9,,Pole: Multiple Fixed,-37.8227507538469,144.94680115406572,"(-37.8227507538469, 144.94680115406572)"
1541479,Feature Lighting -,,,Pole: Multiple Fixed,-37.82337678587131,144.95191838825903,"(-37.82337678587131, 144.95191838825903)"
1544820,Feature Lighting - Victoria Harbour,13,70,Pole: Multiple Fixed,-37.81842468507823,144.9444050193235,"(-37.81842468507823, 144.9444050193235)"
1540522,Feature Lighting - Victoria Harbour,1,50,Pole: Multiple Fixed,-37.81533372767728,144.9443365012084,"(-37.81533372767728, 144.9443365012084)"
1347010,Feature Lighting - Docklands,3,36,Parapet,-37.81785196094747,144.95027873618614,"(-37.81785196094747, 144.95027873618614)"
1346814,Feature Lighting - Docklands,1,18,Bollard,-37.82386180546175,144.94745603928752,"(-37.82386180546175, 144.94745603928752)"
1543553,Feature Lighting - Australian Wharf between Webb Bridge and Collins Landing,9,,Pole: Multiple Fixed,-37.82247179319468,144.9454085744881,"(-37.82247179319468, 144.9454085744881)"
1539175,Feature Lighting - Charles Grimes Bridge between Wurundjeri Way and Montague Street,9,3,Pole: Multiple Fixed,-37.8238501171507,144.94806868254787,"(-37.8238501171507, 144.94806868254787)"
1540155,Feature Lighting - Newquay Promenade between Harbour Esplanade and Palmyra Way,9,,Pole: Multiple Fixed,-37.81407705336101,144.94404296048052,"(-37.81407705336101, 144.94404296048052)"
1542320,Feature Lighting - Swanston Street between Little Lonsdale Street and La Trobe Street,9,,Pole: Multiple Fixed,-37.81000105140386,144.96410903736657,"(-37.81000105140386, 144.96410903736657)"
1540153,Feature Lighting - Newquay Promenade between Harbour Esplanade and Palmyra Way,9,,Pole: Multiple Fixed,-37.81406001719225,144.94406853741586,"(-37.81406001719225, 144.94406853741586)"
1541384,Feature Lighting - City Square,13,14,Pole: Multiple Fixed,-37.81637081980942,144.96713295577072,"(-37.81637081980942, 144.96713295577072)"
1346409,Feature Lighting - Docklands,,,,-37.818214779833625,144.94556764271337,"(-37.818214779833625, 144.94556764271337)"
1543374,Feature Lighting - Melbourne Goods Railway,12,,Pole: Multiple Fixed,-37.81172531983539,144.94525066774827,"(-37.81172531983539, 144.94525066774827)"
1348112,Feature Lighting - Docklands,1,,Building Facade,-37.82121695718796,144.93266566767417,"(-37.82121695718796, 144.93266566767417)"
1542829,Feature Lighting -,12,,Pole: Multiple Fixed,-37.823971388814996,144.9473483191932,"(-37.823971388814996, 144.9473483191932)"
1348141,Feature Lighting - Docklands,1,,Canopy,-37.81771604677222,144.95127760770873,"(-37.81771604677222, 144.95127760770873)"
1541573,Feature Lighting - Intersection of Lonsdale Street and Russell Street,13,14,Pole: Multiple Fixed,-37.81078203298258,144.9671450257161,"(-37.81078203298258, 144.9671450257161)"
1346700,Feature Lighting - Docklands,1,50,Fender,-37.81712084796542,144.9451168305747,"(-37.81712084796542, 144.9451168305747)"
1347359,Feature Lighting - Docklands,1,18,Wall,-37.82430690841281,144.9438885135231,"(-37.82430690841281, 144.9438885135231)"
1541966,Feature Lighting - South Wharf Promenade,,,Pole: Multiple Fixed,-37.82414005474335,144.95209341763263,"(-37.82414005474335, 144.95209341763263)"
1541735,Feature Lighting -,13,35,Pole: Multiple Fixed,-37.823701267111545,144.94736471617182,"(-37.823701267111545, 144.94736471617182)"
1540361,Feature Lighting - Intersection of Flinders Street and Queens Bridge,13,100,Pole: Multiple Fixed,-37.81981287814047,144.9599379300724,"(-37.81981287814047, 144.9599379300724)"
1543108,Feature Lighting - Webb Bridge between North Wharf Road and River Esplanade,12,,Pole: Multiple Fixed,-37.823851418073005,144.94722611666762,"(-37.823851418073005, 144.94722611666762)"
1636499,Feature Lighting - Jim Stynes Bridge,16,,Bridge Beam,-37.822695331188385,144.94777147782685,"(-37.822695331188385, 144.94777147782685)"
1539896,Feature Lighting - Harbour Esplanade between Bourke Street and La Trobe Street,13,35,Pole: Multiple Fixed,-37.81830621567659,144.94583217629918,"(-37.81830621567659, 144.94583217629918)"
1502899,Feature Lighting - Southbank Pedestrian Bridge,,,Inground,-37.81985237061359,144.96498245470636,"(-37.81985237061359, 144.96498245470636)"
1544640,Feature Lighting - Australian Wharf between Webb Bridge and Collins Landing,9,,Pole: Multiple Fixed,-37.82246342571188,144.94540730361632,"(-37.82246342571188, 144.94540730361632)"
1347748,Feature Lighting - Docklands,1,,Inground,-37.81481443448337,144.94173342247706,"(-37.81481443448337, 144.94173342247706)"
1347072,Feature Lighting - Docklands,3,36,Parapet,-37.81795315862986,144.95066160938097,"(-37.81795315862986, 144.95066160938097)"
1539780,Feature Lighting -,9,25,Building Eve,-37.81436646086941,144.94276573934008,"(-37.81436646086941, 144.94276573934008)"
1487842,Feature Lighting - Docklands,,,,-37.81382951505699,144.94411297250608,"(-37.81382951505699, 144.94411297250608)"
1346728,Feature Lighting - Docklands,5,70,Inground,-37.815620442742016,144.94536383197763,"(-37.815620442742016, 144.94536383197763)"
1544055,Feature Lighting -,13,70,Pole: Multiple Fixed,-37.82444326398119,144.94636275721982,"(-37.82444326398119, 144.94636275721982)"
