Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,Location
2017,1104,576024,576023,747-757 Bourke Street,Docklands,The Nixon Hotel,300,"(-37.81925128, 144.9479753)"
2017,803,111175,110477,8 Whiteman Street,Southbank,The Waiting Room,120,"(-37.82312164, 144.9586604)"
2017,77,108573,108573,270 Russell Street,Melbourne (CBD),Whisky and Alement,90,"(-37.81011116, 144.9671591)"
2017,85,109304,109304,301-303 Swanston Street,Melbourne (CBD),Sahara Restaurant,140,"(-37.81107765, 144.9641938)"
2017,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Hoyts,300,"(-37.81073331, 144.9630189)"
2017,27,102064,102064,69-73 Collins Street,Melbourne (CBD),Harley House,210,"(-37.8143446, 144.9713489)"
2017,803,111175,110477,8 Whiteman Street,Southbank,Therapy,600,"(-37.82312164, 144.9586604)"
2017,41,105948,105948,582-584 Little Collins Street,Melbourne (CBD),Saint & Rogue,300,"(-37.81740928, 144.9553525)"
2017,35,558610,558610,256 Collins Street,Melbourne (CBD),The Butterfly Club,190,"(-37.81552514, 144.9652914)"
2017,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Equinox Bar Restaurant,80,"(-37.81073331, 144.9630189)"
2017,74,104662,104662,106-112 Hardware Street,Melbourne (CBD),Nieuw Amsterdam,200,"(-37.81213605, 144.9606805)"
2017,268,108154,108153,49 Rathdowne Street,Carlton,Epocha Restaurant,124,"(-37.80578725, 144.9685944)"
2017,104,104085,104085,167-175 Franklin Street,Melbourne (CBD),Disco Bar,200,"(-37.80895967, 144.9591538)"
2017,33,100730,100730,12-16 Bank Place,Melbourne (CBD),Melbourne Savage Club,90,"(-37.81654467, 144.9605765)"
