Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,Location
2017,61,105716,105716,597-603 Lonsdale Street,Melbourne (CBD),The Men's Gallery,675,"(-37.81491898, 144.9544951)"
2017,12,105401,105401,14-20 King Street,Melbourne (CBD),Spearmint Rhino Gentlemen's Club,660,"(-37.81977635, 144.9577148)"
2017,43,108068,108068,111-129 Queen Street,Melbourne (CBD),Blue Diamond,200,"(-37.81581152, 144.9606367)"
2017,85,102597,102597,2-20 Drewery Place,Melbourne (CBD),Baroq House,303,"(-37.81130304, 144.9639703)"
2017,67,108581,108581,226-236 Russell Street,Melbourne (CBD),Heartbreaker,170,"(-37.81098272, 144.9676444)"
2017,84,105449,105449,293-299 La Trobe Street,Melbourne (CBD),Burger Theory / The Hills Rooftop / The Tuxedo Cat,200,"(-37.81081439, 144.9605086)"
2017,33,108064,108064,85-91 Queen Street,Melbourne (CBD),Melbourne Black Rabbit,230,"(-37.81649711, 144.9610213)"
2017,17,103928,103928,133-135 Flinders Lane,Melbourne (CBD),Meatball & Wine Bar,110,"(-37.81573536, 144.9701585)"
2017,36,102152,102152,162-168 Collins Street,Melbourne (CBD),The Long Room,620,"(-37.81450301, 144.9678476)"
2017,345,103393,103393,7 Errol Street,North Melbourne,Joe Taylor,60,"(-37.80479755, 144.9490127)"
2017,66,109436,109436,27-29 Tattersalls Lane,Melbourne (CBD),Section 8 Bar,100,"(-37.81176167, 144.9653899)"
2017,17,103925,103925,121-123 Flinders Lane,Melbourne (CBD),Sake Restaurant and Bar,350,"(-37.81567009, 144.9705132)"
2017,115,104103,104103,34-38 Franklin Street,Melbourne (CBD),Captain Melville,355,"(-37.80752292, 144.9616126)"
2017,1109,601809,593728,425-427 Docklands Drive,Docklands,Waterfront Venues,"1,059","(-37.81517782, 144.9390269)"
2017,11,103984,103984,566-580 Flinders Street,Melbourne (CBD),UBar,98,"(-37.82072034, 144.9553465)"
2017,24,103174,103174,55-57 Elizabeth Street,Melbourne (CBD),Fiftyfive,88,"(-37.81697242, 144.9641302)"
2017,58,101238,101238,2-8 Bourke Street,Melbourne (CBD),Imperial Hotel,894,"(-37.8112003, 144.972676)"
2017,377,102236,102236,56-58 Courtney Street,North Melbourne,The Castle Hotel,317,"(-37.8008985, 144.953035)"
2017,85,102596,102596,22 Drewery Place,Melbourne (CBD),Sister Bellas,80,"(-37.81135, 144.9638158)"
